time(us),amplitude
899644, 1.06
900404, 0.91
901164, 0.78
901916, 0.64
902676, 0.44
903436, 0.31
904204, 0.23
904956, 0.19
905716, 0.19
906476, 0.22
907236, 0.27
907996, 0.35
908756, 0.49
909516, 0.62
910276, 0.78
911036, 0.96
911796, 1.09
912556, 1.17
913316, 1.21
914084, 1.21
914848, 1.18
915612, 1.12
916372, 1.04
917132, 0.90
917892, 0.77
918652, 0.61
919412, 0.42
920172, 0.30
920932, 0.22
921692, 0.19
922444, 0.19
923204, 0.22
923964, 0.28
924716, 0.37
925476, 0.50
926236, 0.64
926996, 0.80
927764, 0.98
928516, 1.10
929280, 1.18
930040, 1.21
930804, 1.21
931572, 1.18
932336, 1.11
933100, 1.02
933860, 0.88
934620, 0.75
935380, 0.59
936140, 0.41
936900, 0.29
937660, 0.22
938420, 0.19
939180, 0.19
939940, 0.23
940692, 0.29
941460, 0.39
942220, 0.52
942980, 0.65
943740, 0.82
944500, 1.01
945260, 1.12
946020, 1.19
946788, 1.21
947552, 1.21
948316, 1.17
949076, 1.10
949844, 1.00
950604, 0.87
951364, 0.73
952124, 0.56
952884, 0.38
953644, 0.27
954404, 0.21
955164, 0.19
955924, 0.19
956684, 0.23
957452, 0.30
958204, 0.41
958968, 0.54
959732, 0.68
960492, 0.86
961252, 1.03
962012, 1.13
962776, 1.19
963532, 1.21
964300, 1.21
965064, 1.16
965828, 1.09
966580, 0.98
967340, 0.85
968100, 0.71
968860, 0.53
969620, 0.37
970380, 0.26
971140, 0.20
971884, 0.18
972652, 0.19
973412, 0.24
974172, 0.31
974932, 0.43
975692, 0.56
976452, 0.70
977212, 0.87
977972, 1.04
978716, 1.14
979492, 1.20
980256, 1.21
981020, 1.20
981780, 1.15
982548, 1.09
983308, 0.96
984060, 0.84
984820, 0.69
985580, 0.51
986344, 0.35
987100, 0.25
987860, 0.20
988620, 0.19
989380, 0.20
990140, 0.25
990900, 0.31
991664, 0.44
992428, 0.58
993180, 0.71
993948, 0.90
994708, 1.06
995468, 1.15
996228, 1.21
996996, 1.21
997760, 1.20
998524, 1.14
999284, 1.08
1000044, 0.94
1000844, 0.80
1001656, 0.65
1002460, 0.45
1003276, 0.31
1004092, 0.22
1004904, 0.19
1005712, 0.19
1006516, 0.23
1007332, 0.30
1008148, 0.42
1008956, 0.56
1009764, 0.70
1010572, 0.90
1011388, 1.07
1012196, 1.16
1013012, 1.21
1013820, 1.21
1014632, 1.18
1015444, 1.12
1016260, 1.02
1017068, 0.87
1017880, 0.73
1018692, 0.55
1019508, 0.37
1020320, 0.25
1021128, 0.20
1021940, 0.19
1022756, 0.21
1023572, 0.26
1024384, 0.34
1025192, 0.49
1025996, 0.63
1026812, 0.80
1027620, 0.99
1028428, 1.12
1029236, 1.19
1030044, 1.21
1030860, 1.21
1031676, 1.15
1032492, 1.09
1033300, 0.95
1034108, 0.81
1034924, 0.65
1035732, 0.44
1036540, 0.31
1037352, 0.22
1038156, 0.19
1038972, 0.19
1039784, 0.23
1040592, 0.30
1041396, 0.41
1042212, 0.56
1043024, 0.70
1043836, 0.90
1044644, 1.06
1045452, 1.16
1046264, 1.21
1047080, 1.21
1047892, 1.18
1048700, 1.12
1049508, 1.02
1050324, 0.88
1051132, 0.74
1051940, 0.55
1052748, 0.37
1053556, 0.26
1054372, 0.20
1055184, 0.19
1055992, 0.20
1056804, 0.26
1057612, 0.34
1058428, 0.48
1059236, 0.63
1060044, 0.79
1060852, 0.99
1061668, 1.11
1062484, 1.19
1063292, 1.21
1064108, 1.21
1064916, 1.16
1065732, 1.09
1066548, 0.96
1067356, 0.81
1068168, 0.66
1068972, 0.45
1069788, 0.31
1070604, 0.22
1071412, 0.19
1072220, 0.19
1073028, 0.23
1073844, 0.29
1074652, 0.41
1075464, 0.55
1076268, 0.70
1077076, 0.89
1077892, 1.06
1078700, 1.16
1079508, 1.21
1080320, 1.21
1081132, 1.19
1081948, 1.12
1082764, 1.03
1083572, 0.88
1084380, 0.74
1085196, 0.56
1086012, 0.38
1086820, 0.26
1087632, 0.20
1088444, 0.19
1089252, 0.20
1090068, 0.26
1090876, 0.34
1091684, 0.48
1092492, 0.62
1093308, 0.79
1094116, 0.99
1094928, 1.11
1095736, 1.19
1096544, 1.21
1097360, 1.21
1098172, 1.16
1098988, 1.09
1099800, 0.96
1100612, 0.82
1101428, 0.66
1102240, 0.45
1103048, 0.31
1103860, 0.22
1104676, 0.19
1105492, 0.19
1106304, 0.23
1107112, 0.29
1107924, 0.41
1108740, 0.56
1109556, 0.70
1110368, 0.89
1111176, 1.06
1111988, 1.16
1112804, 1.21
1113620, 1.21
1114436, 1.18
1115244, 1.12
1116052, 1.03
1116868, 0.88
1117676, 0.73
1118488, 0.55
1119300, 0.37
1120108, 0.26
1120924, 0.20
1121732, 0.19
1122544, 0.20
1123352, 0.26
1124164, 0.34
1124980, 0.48
1125788, 0.63
1126600, 0.79
1127404, 0.99
1128220, 1.12
1129032, 1.19
1129844, 1.21
1130660, 1.20
1131468, 1.15
1132284, 1.09
1133100, 0.95
1133908, 0.81
1134720, 0.65
1135528, 0.45
1136348, 0.31
1137164, 0.22
1137976, 0.19
1138780, 0.19
1139588, 0.23
1140404, 0.30
1141216, 0.42
1142024, 0.56
1142836, 0.71
1143644, 0.90
1144460, 1.07
1145268, 1.16
1146084, 1.21
1146900, 1.21
1147708, 1.18
1148524, 1.12
1149340, 1.02
1150148, 0.87
1150956, 0.73
1151772, 0.55
1152588, 0.37
1153396, 0.25
1154208, 0.20
1155012, 0.19
1155828, 0.21
1156644, 0.26
1157452, 0.34
1158260, 0.48
1159068, 0.63
1159884, 0.80
1160692, 1.00
1161504, 1.12
1162312, 1.19
1163120, 1.21
1163936, 1.21
1164748, 1.15
1165564, 1.08
1166372, 0.95
1167180, 0.81
1167996, 0.65
1168808, 0.44
1169616, 0.31
1170424, 0.22
1171236, 0.18
1172052, 0.19
1172864, 0.23
1173672, 0.30
1174484, 0.42
1175300, 0.55
1176116, 0.71
1176924, 0.90
1177736, 1.06
1178540, 1.16
1179356, 1.21
1180172, 1.21
1180988, 1.18
1181796, 1.12
1182604, 1.02
1183420, 0.87
1184232, 0.73
1185040, 0.55
1185852, 0.37
1186660, 0.25
1187476, 0.20
1188288, 0.19
1189100, 0.21
1189912, 0.26
1190724, 0.35
1191540, 0.49
1192352, 0.63
1193160, 0.80
1193964, 1.00
1194780, 1.12
1195596, 1.19
1196412, 1.21
1197228, 1.21
1198036, 1.15
1198856, 1.09
1199668, 0.94
1200480, 0.80
1201288, 0.64
1202100, 0.44
1202916, 0.30
1203732, 0.22
1204544, 0.19
1205348, 0.19
1206156, 0.23
1206972, 0.30
1207784, 0.42
1208592, 0.56
1209404, 0.71
1210212, 0.90
1211028, 1.07
1211836, 1.16
1212652, 1.21
1213464, 1.21
1214276, 1.18
1215092, 1.12
1215908, 1.02
1216720, 0.87
1217524, 0.73
1218340, 0.54
1219156, 0.36
1219968, 0.25
1220776, 0.20
1221588, 0.19
1222404, 0.21
1223220, 0.26
1224028, 0.35
1224840, 0.49
1225644, 0.64
1226460, 0.81
1227276, 1.00
1228084, 1.12
1228896, 1.19
1229704, 1.21
1230516, 1.21
1231332, 1.15
1232148, 1.08
1232956, 0.94
1233764, 0.80
1234580, 0.64
1235388, 0.43
1236200, 0.30
1237012, 0.22
1237820, 0.19
1238636, 0.19
1239448, 0.23
1240256, 0.30
1241068, 0.43
1241884, 0.57
1242700, 0.71
1243508, 0.92
1244320, 1.07
1245124, 1.16
1245936, 1.21
1246756, 1.22
1247572, 1.18
1248380, 1.11
1249188, 1.01
1250004, 0.87
1250812, 0.72
1251624, 0.54
1252436, 0.36
1253244, 0.25
1254060, 0.19
1254872, 0.19
1255684, 0.21
1256492, 0.26
1257300, 0.35
1258116, 0.49
1258928, 0.64
1259736, 0.81
1260552, 1.01
1261364, 1.12
1262180, 1.19
1262988, 1.21
1263804, 1.21
1264612, 1.15
1265432, 1.08
1266244, 0.94
1267056, 0.80
1267864, 0.64
1268676, 0.43
1269492, 0.30
1270308, 0.22
